A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose/cs2_ett15m400_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3263       0.3264      -0.0001
eff overall (pt>0.9)             0.8126       0.8136      -0.0010
eff vxy [0,1)                    0.8454       0.8473      -0.0019
eff vxy [1,5)                    0.8021       0.7731      +0.0290
eff vxy [5,10)                   0.7271       0.6530      +0.0741
eff vxy [10,30)                  0.7190       0.6291      +0.0899
eff dxy [0,1)                    0.8399       0.8342      +0.0057
eff dxy [1,5)                    0.5622       0.4989      +0.0633
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9237       0.9242      -0.0004
eff transition 1.1-1.7           0.8801       0.8826      -0.0025
eff endcap >1.7                  0.7547       0.7556      -0.0009
dup rate (pt sums)               0.0606       0.0499      +0.0107
dup rate (pt>0.9)                0.0627       0.0513      +0.0114
dup rate barrel                  0.0148       0.0097      +0.0051
dup rate transition              0.0239       0.0130      +0.0109
dup rate endcap                  0.0990       0.0846      +0.0145
fake rate (pt sums)              0.0467       0.0451      +0.0016
fake rate (pt>0.9)               0.0474       0.0455      +0.0019
fake rate barrel                 0.0524       0.0437      +0.0087
fake rate transition             0.0563       0.0459      +0.0104
fake rate endcap                 0.0422       0.0463      -0.0041
mean nhitOT                       6.279        6.514       -0.235
mean nhitOT barrel                9.792       10.151       -0.359
mean nhitOT transition            9.720       10.010       -0.290
mean nhitOT endcap                3.440        3.559       -0.120
n TC (fr denom)                  618100       610581        +7519
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose/cs2_ett15m400.json
