A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose_attach/at_a85rps_rd_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3265       0.3264      +0.0001
eff overall (pt>0.9)             0.8132       0.8136      -0.0004
eff vxy [0,1)                    0.8460       0.8473      -0.0013
eff vxy [1,5)                    0.8064       0.7731      +0.0332
eff vxy [5,10)                   0.7334       0.6530      +0.0804
eff vxy [10,30)                  0.7190       0.6291      +0.0899
eff dxy [0,1)                    0.8408       0.8342      +0.0066
eff dxy [1,5)                    0.5644       0.4989      +0.0655
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9245       0.9242      +0.0003
eff transition 1.1-1.7           0.8811       0.8826      -0.0015
eff endcap >1.7                  0.7549       0.7556      -0.0007
dup rate (pt sums)               0.0576       0.0499      +0.0077
dup rate (pt>0.9)                0.0593       0.0513      +0.0080
dup rate barrel                  0.0148       0.0097      +0.0051
dup rate transition              0.0261       0.0130      +0.0131
dup rate endcap                  0.0926       0.0846      +0.0081
fake rate (pt sums)              0.0465       0.0451      +0.0014
fake rate (pt>0.9)               0.0473       0.0455      +0.0018
fake rate barrel                 0.0516       0.0437      +0.0079
fake rate transition             0.0555       0.0459      +0.0096
fake rate endcap                 0.0426       0.0463      -0.0037
mean nhitOT                       6.174        6.514       -0.339
mean nhitOT barrel                9.667       10.151       -0.484
mean nhitOT transition            9.446       10.010       -0.564
mean nhitOT endcap                3.356        3.559       -0.204
n TC (fr denom)                  617319       610581        +6738
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose_attach/at_a85rps_rd.json
