A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_trim/d_tt15_ta125_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3264       0.3264      -0.0001
eff overall (pt>0.9)             0.8127       0.8136      -0.0008
eff vxy [0,1)                    0.8455       0.8473      -0.0018
eff vxy [1,5)                    0.8042       0.7731      +0.0311
eff vxy [5,10)                   0.7287       0.6530      +0.0757
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8402       0.8342      +0.0060
eff dxy [1,5)                    0.5622       0.4989      +0.0633
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9243       0.9242      +0.0001
eff transition 1.1-1.7           0.8801       0.8826      -0.0025
eff endcap >1.7                  0.7545       0.7556      -0.0011
dup rate (pt sums)               0.0555       0.0499      +0.0056
dup rate (pt>0.9)                0.0568       0.0513      +0.0055
dup rate barrel                  0.0138       0.0097      +0.0041
dup rate transition              0.0227       0.0130      +0.0097
dup rate endcap                  0.0898       0.0846      +0.0052
fake rate (pt sums)              0.0468       0.0451      +0.0017
fake rate (pt>0.9)               0.0476       0.0455      +0.0021
fake rate barrel                 0.0519       0.0437      +0.0081
fake rate transition             0.0558       0.0459      +0.0099
fake rate endcap                 0.0429       0.0463      -0.0034
mean nhitOT                       6.320        6.514       -0.193
mean nhitOT barrel                9.831       10.151       -0.319
mean nhitOT transition            9.743       10.010       -0.267
mean nhitOT endcap                3.436        3.559       -0.123
n TC (fr denom)                  616525       610581        +5944
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_trim/d_tt15_ta125.json
