A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a05_ref/a_F10X375_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3279       0.3281      -0.0002
eff overall (pt>0.9)             0.8101       0.8099      +0.0002
eff vxy [0,1)                    0.8429       0.8430      -0.0000
eff vxy [1,5)                    0.7953       0.7719      +0.0234
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8374       0.8307      +0.0067
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9260       0.9256      +0.0005
eff transition 1.1-1.7           0.8826       0.8819      +0.0008
eff endcap >1.7                  0.7456       0.7460      -0.0003
dup rate (pt sums)               0.0604       0.0503      +0.0100
dup rate (pt>0.9)                0.0613       0.0518      +0.0095
dup rate barrel                  0.0418       0.0099      +0.0319
dup rate transition              0.0314       0.0126      +0.0188
dup rate endcap                  0.0807       0.0856      -0.0048
fake rate (pt sums)              0.0483       0.0447      +0.0036
fake rate (pt>0.9)               0.0490       0.0448      +0.0042
fake rate barrel                 0.0549       0.0425      +0.0124
fake rate transition             0.0603       0.0445      +0.0158
fake rate endcap                 0.0424       0.0460      -0.0037
mean nhitOT                       6.440        6.519       -0.078
mean nhitOT barrel                9.843       10.148       -0.305
mean nhitOT transition            9.925       10.015       -0.090
mean nhitOT endcap                3.549        3.562       -0.013
n TC (fr denom)                  614930       608190        +6740
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a05_ref/a_F10X375.json
