A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/edgeretrain/er_fl_d1e50_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3264       0.3264      -0.0001
eff overall (pt>0.9)             0.8129       0.8136      -0.0007
eff vxy [0,1)                    0.8461       0.8473      -0.0012
eff vxy [1,5)                    0.7986       0.7731      +0.0254
eff vxy [5,10)                   0.7429       0.6530      +0.0899
eff vxy [10,30)                  0.7190       0.6291      +0.0899
eff dxy [0,1)                    0.8410       0.8342      +0.0068
eff dxy [1,5)                    0.5665       0.4989      +0.0676
eff dxy [5,10)                   0.2456       0.2281      +0.0175
eff dxy [10,30)                  0.0192       0.0470      -0.0278
eff barrel |eta|<1.1             0.9246       0.9242      +0.0004
eff transition 1.1-1.7           0.8798       0.8826      -0.0028
eff endcap >1.7                  0.7547       0.7556      -0.0009
dup rate (pt sums)               0.0555       0.0499      +0.0055
dup rate (pt>0.9)                0.0571       0.0513      +0.0058
dup rate barrel                  0.0146       0.0097      +0.0049
dup rate transition              0.0223       0.0130      +0.0093
dup rate endcap                  0.0900       0.0846      +0.0054
fake rate (pt sums)              0.0466       0.0451      +0.0015
fake rate (pt>0.9)               0.0473       0.0455      +0.0018
fake rate barrel                 0.0532       0.0437      +0.0095
fake rate transition             0.0546       0.0459      +0.0088
fake rate endcap                 0.0420       0.0463      -0.0044
mean nhitOT                       6.286        6.514       -0.228
mean nhitOT barrel                9.804       10.151       -0.346
mean nhitOT transition            9.627       10.010       -0.382
mean nhitOT endcap                3.421        3.559       -0.138
n TC (fr denom)                  615999       610581        +5418
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/edgeretrain/er_fl_d1e50.json
