**** Following environment variables are going to be unset.
      X86_64_V3_PATH
      X86_64_V3_PYTHON3PATH
      INTEL_LICENSE_FILE

[repro30] gpu leg A
[repro30] gpu leg B

################ GPU run-to-run, 30 events ################
nT3 / nEdgeRows per event:
  evt   0  nT3 35419/35419   nEdge 74597/74597
  evt   1  nT3 37157/37157   nEdge 86243/86243
  evt   2  nT3 38608/38608   nEdge 88312/88312
  evt   3  nT3 44749/44749   nEdge 106449/106449
  evt   4  nT3 25287/25287   nEdge 50088/50088
  evt   5  nT3 42741/42741   nEdge 91528/91528
  evt   6  nT3 36929/36929   nEdge 85539/85539
  evt   7  nT3 49805/49805   nEdge 101589/101589
  evt   8  nT3 52418/52418   nEdge 124729/124729
  evt   9  nT3 38637/38637   nEdge 98486/98486
  evt  10  nT3 43977/43977   nEdge 147218/147218
  evt  11  nT3 28820/28820   nEdge 55147/55147
  evt  12  nT3 45572/45572   nEdge 116684/116684
  evt  13  nT3 58552/58552   nEdge 149303/149303
  evt  14  nT3 37135/37135   nEdge 101387/101387
  evt  15  nT3 60296/60296   nEdge 622409/622409
  evt  16  nT3 27866/27866   nEdge 50330/50330
  evt  17  nT3 26165/26165   nEdge 50555/50555
  evt  18  nT3 42986/42986   nEdge 86925/86925
  evt  19  nT3 48128/48128   nEdge 122167/122167
  evt  20  nT3 46308/46308   nEdge 137889/137889
  evt  21  nT3 46043/46043   nEdge 94822/94822
  evt  22  nT3 31479/31479   nEdge 62956/62956
  evt  23  nT3 42227/42227   nEdge 99159/99159
  evt  24  nT3 48859/48859   nEdge 143273/143273
  evt  25  nT3 79973/79973   nEdge 200686/200686
  evt  26  nT3 41545/41545   nEdge 105026/105026
  evt  27  nT3 31749/31749   nEdge 60282/60282
  evt  28  nT3 38324/38324   nEdge 96957/96957
  evt  29  nT3 31047/31047   nEdge 61627/61627

=== (1) chain identity on the stable MD-hit key alone ===
 evt       A       B  common  onlyA  onlyB   ident%
   0    4248    4248    4248      0      0  100.00%
   1    4281    4281    4281      0      0  100.00%
   2    4226    4226    4226      0      0  100.00%
   3    4744    4744    4744      0      0  100.00%
   4    3323    3323    3323      0      0  100.00%
   5    4699    4699    4699      0      0  100.00%
   6    4045    4045    4045      0      0  100.00%
   7    5249    5249    5249      0      0  100.00%
   8    5381    5381    5381      0      0  100.00%
   9    4577    4577    4577      0      0  100.00%
  10    4712    4712    4712      0      0  100.00%
  11    3767    3767    3767      0      0  100.00%
  12    4891    4891    4891      0      0  100.00%
  13    6136    6136    6136      0      0  100.00%
  14    4420    4420    4420      0      0  100.00%
  15    5904    5904    5904      0      0  100.00%
  16    3752    3752    3752      0      0  100.00%
  17    3570    3570    3570      0      0  100.00%
  18    4748    4748    4748      0      0  100.00%
  19    4814    4814    4814      0      0  100.00%
  20    5223    5223    5223      0      0  100.00%
  21    4730    4730    4730      0      0  100.00%
  22    3395    3395    3395      0      0  100.00%
  23    4752    4752    4752      0      0  100.00%
  24    4634    4634    4634      0      0  100.00%
  25    7719    7719    7719      0      0  100.00%
  26    4526    4526    4526      0      0  100.00%
  27    4140    4140    4140      0      0  100.00%
  28    4572    4572    4572      0      0  100.00%
  29    3304    3304    3304      0      0  100.00%

CHAIN(mds) TOTAL A=138482 B=138482 common=138482
CHAIN(mds) IDENTITY = 100.0000%  (worst event 0: 100.00%)

=== (2) chain identity on MD key + nLayers + branch + trim + flags + score bits ===
 evt       A       B  common  onlyA  onlyB   ident%
   0    4248    4248    4248      0      0  100.00%
   1    4281    4281    4281      0      0  100.00%
   2    4226    4226    4226      0      0  100.00%
   3    4744    4744    4744      0      0  100.00%
   4    3323    3323    3323      0      0  100.00%
   5    4699    4699    4699      0      0  100.00%
   6    4045    4045    4045      0      0  100.00%
   7    5249    5249    5249      0      0  100.00%
   8    5381    5381    5381      0      0  100.00%
   9    4577    4577    4577      0      0  100.00%
