A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/okretrain/ab_ve_b80_w050_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3247       0.3264      -0.0018
eff overall (pt>0.9)             0.8086       0.8136      -0.0050
eff vxy [0,1)                    0.8415       0.8473      -0.0058
eff vxy [1,5)                    0.7943       0.7731      +0.0212
eff vxy [5,10)                   0.7271       0.6530      +0.0741
eff vxy [10,30)                  0.7124       0.6291      +0.0833
eff dxy [0,1)                    0.8358       0.8342      +0.0016
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9189       0.9242      -0.0053
eff transition 1.1-1.7           0.8723       0.8826      -0.0103
eff endcap >1.7                  0.7528       0.7556      -0.0028
dup rate (pt sums)               0.0622       0.0499      +0.0123
dup rate (pt>0.9)                0.0646       0.0513      +0.0133
dup rate barrel                  0.0157       0.0097      +0.0059
dup rate transition              0.0286       0.0130      +0.0156
dup rate endcap                  0.1006       0.0846      +0.0160
fake rate (pt sums)              0.0478       0.0451      +0.0027
fake rate (pt>0.9)               0.0490       0.0455      +0.0035
fake rate barrel                 0.0485       0.0437      +0.0048
fake rate transition             0.0677       0.0459      +0.0218
fake rate endcap                 0.0439       0.0463      -0.0024
mean nhitOT                       6.469        6.514       -0.044
mean nhitOT barrel                9.962       10.151       -0.189
mean nhitOT transition            9.913       10.010       -0.097
mean nhitOT endcap                3.654        3.559       +0.094
n TC (fr denom)                  616558       610581        +5977
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/okretrain/ab_ve_b80_w050.json
