A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/okretrain/ab_vf_b80_w050_f025_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3241       0.3264      -0.0024
eff overall (pt>0.9)             0.8069       0.8136      -0.0066
eff vxy [0,1)                    0.8397       0.8473      -0.0077
eff vxy [1,5)                    0.7943       0.7731      +0.0212
eff vxy [5,10)                   0.7271       0.6530      +0.0741
eff vxy [10,30)                  0.7124       0.6291      +0.0833
eff dxy [0,1)                    0.8343       0.8342      +0.0000
eff dxy [1,5)                    0.5569       0.4989      +0.0579
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9177       0.9242      -0.0065
eff transition 1.1-1.7           0.8678       0.8826      -0.0148
eff endcap >1.7                  0.7518       0.7556      -0.0038
dup rate (pt sums)               0.0597       0.0499      +0.0098
dup rate (pt>0.9)                0.0618       0.0513      +0.0105
dup rate barrel                  0.0135       0.0097      +0.0037
dup rate transition              0.0237       0.0130      +0.0107
dup rate endcap                  0.0979       0.0846      +0.0134
fake rate (pt sums)              0.0466       0.0451      +0.0015
fake rate (pt>0.9)               0.0476       0.0455      +0.0021
fake rate barrel                 0.0467       0.0437      +0.0030
fake rate transition             0.0645       0.0459      +0.0187
fake rate endcap                 0.0433       0.0463      -0.0031
mean nhitOT                       6.469        6.514       -0.045
mean nhitOT barrel                9.988       10.151       -0.163
mean nhitOT transition            9.917       10.010       -0.093
mean nhitOT endcap                3.646        3.559       +0.086
n TC (fr denom)                  614645       610581        +4064
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/okretrain/ab_vf_b80_w050_f025.json
