A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a15_ref/r_W_XC4_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fin_ref/fin_base977_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3271       0.3277      -0.0007
eff overall (pt>0.9)             0.8088       0.8099      -0.0010
eff vxy [0,1)                    0.8412       0.8429      -0.0016
eff vxy [1,5)                    0.8011       0.7772      +0.0239
eff vxy [5,10)                   0.7216       0.6442      +0.0774
eff vxy [10,30)                  0.7147       0.6257      +0.0891
eff dxy [0,1)                    0.8350       0.8296      +0.0054
eff dxy [1,5)                    0.5832       0.5104      +0.0728
eff dxy [5,10)                   0.2452       0.2291      +0.0161
eff dxy [10,30)                  0.0315       0.0540      -0.0225
eff barrel |eta|<1.1             0.9243       0.9243      +0.0000
eff transition 1.1-1.7           0.8794       0.8800      -0.0006
eff endcap >1.7                  0.7443       0.7466      -0.0023
dup rate (pt sums)               0.0551       0.0499      +0.0052
dup rate (pt>0.9)                0.0563       0.0514      +0.0049
dup rate barrel                  0.0423       0.0097      +0.0326
dup rate transition              0.0286       0.0131      +0.0155
dup rate endcap                  0.0723       0.0849      -0.0125
fake rate (pt sums)              0.0547       0.0452      +0.0095
fake rate (pt>0.9)               0.0562       0.0454      +0.0108
fake rate barrel                 0.0676       0.0436      +0.0239
fake rate transition             0.0695       0.0454      +0.0241
fake rate endcap                 0.0459       0.0463      -0.0004
mean nhitOT                       6.464        6.519       -0.054
mean nhitOT barrel                9.807       10.150       -0.343
mean nhitOT transition            9.913       10.009       -0.097
mean nhitOT endcap                3.575        3.557       +0.018
n TC (fr denom)                 2026593      1998494       +28099
n sim (ef denom)                 204388       204388           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a15_ref/r_W_XC4.json
