A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_a_ref/t_g_f_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/protoA/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3235       0.3264      -0.0029
eff overall (pt>0.9)             0.8064       0.8136      -0.0072
eff vxy [0,1)                    0.8393       0.8473      -0.0080
eff vxy [1,5)                    0.7922       0.7731      +0.0191
eff vxy [5,10)                   0.7240       0.6530      +0.0710
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8337       0.8342      -0.0005
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9120       0.9242      -0.0121
eff transition 1.1-1.7           0.8761       0.8826      -0.0065
eff endcap >1.7                  0.7524       0.7556      -0.0032
dup rate (pt sums)               0.0481       0.0499      -0.0018
dup rate (pt>0.9)                0.0483       0.0513      -0.0030
dup rate barrel                  0.0129       0.0097      +0.0032
dup rate transition              0.0179       0.0130      +0.0048
dup rate endcap                  0.0761       0.0846      -0.0084
fake rate (pt sums)              0.0491       0.0451      +0.0039
fake rate (pt>0.9)               0.0498       0.0455      +0.0043
fake rate barrel                 0.0570       0.0437      +0.0133
fake rate transition             0.0609       0.0459      +0.0150
fake rate endcap                 0.0428       0.0463      -0.0036
mean nhitOT                       6.504        6.514       -0.010
mean nhitOT barrel               10.062       10.151       -0.089
mean nhitOT transition           10.025       10.010       +0.016
mean nhitOT endcap                3.567        3.559       +0.007
n TC (fr denom)                  610913       610581         +332
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_a_ref/t_g_f.json
