A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_f8_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3233       0.3264      -0.0032
eff overall (pt>0.9)             0.8046       0.8136      -0.0089
eff vxy [0,1)                    0.8373       0.8473      -0.0100
eff vxy [1,5)                    0.7915       0.7731      +0.0184
eff vxy [5,10)                   0.7161       0.6530      +0.0631
eff vxy [10,30)                  0.6985       0.6291      +0.0694
eff dxy [0,1)                    0.8313       0.8342      -0.0029
eff dxy [1,5)                    0.5429       0.4989      +0.0440
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9129       0.9242      -0.0112
eff transition 1.1-1.7           0.8656       0.8826      -0.0170
eff endcap >1.7                  0.7517       0.7556      -0.0039
dup rate (pt sums)               0.0604       0.0499      +0.0105
dup rate (pt>0.9)                0.0626       0.0513      +0.0113
dup rate barrel                  0.0139       0.0097      +0.0041
dup rate transition              0.0244       0.0130      +0.0114
dup rate endcap                  0.0991       0.0846      +0.0145
fake rate (pt sums)              0.0491       0.0451      +0.0040
fake rate (pt>0.9)               0.0507       0.0455      +0.0052
fake rate barrel                 0.0515       0.0437      +0.0078
fake rate transition             0.0702       0.0459      +0.0244
fake rate endcap                 0.0447       0.0463      -0.0016
mean nhitOT                       6.376        6.514       -0.138
mean nhitOT barrel                9.924       10.151       -0.226
mean nhitOT transition            9.878       10.010       -0.132
mean nhitOT endcap                3.514        3.559       -0.045
n TC (fr denom)                  615350       610581        +4769
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_f8.json
