A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_extend/ex_s1_w25r50_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3264       0.3264      -0.0000
eff overall (pt>0.9)             0.8129       0.8136      -0.0007
eff vxy [0,1)                    0.8457       0.8473      -0.0016
eff vxy [1,5)                    0.8028       0.7731      +0.0297
eff vxy [5,10)                   0.7271       0.6530      +0.0741
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8402       0.8342      +0.0060
eff dxy [1,5)                    0.5622       0.4989      +0.0633
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9242       0.9242      +0.0000
eff transition 1.1-1.7           0.8798       0.8826      -0.0028
eff endcap >1.7                  0.7550       0.7556      -0.0006
dup rate (pt sums)               0.0557       0.0499      +0.0058
dup rate (pt>0.9)                0.0570       0.0513      +0.0057
dup rate barrel                  0.0139       0.0097      +0.0042
dup rate transition              0.0229       0.0130      +0.0099
dup rate endcap                  0.0902       0.0846      +0.0056
fake rate (pt sums)              0.0470       0.0451      +0.0019
fake rate (pt>0.9)               0.0477       0.0455      +0.0022
fake rate barrel                 0.0519       0.0437      +0.0082
fake rate transition             0.0567       0.0459      +0.0108
fake rate endcap                 0.0429       0.0463      -0.0034
mean nhitOT                       6.378        6.514       -0.135
mean nhitOT barrel                9.906       10.151       -0.244
mean nhitOT transition            9.906       10.010       -0.104
mean nhitOT endcap                3.455        3.559       -0.104
n TC (fr denom)                  616650       610581        +6069
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_extend/ex_s1_w25r50.json
