A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_hp_a0_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3258       0.3264      -0.0006
eff overall (pt>0.9)             0.7519       0.8136      -0.0616
eff vxy [0,1)                    0.7902       0.8473      -0.0571
eff vxy [1,5)                    0.6818       0.7731      -0.0913
eff vxy [5,10)                   0.6667       0.6530      +0.0137
eff vxy [10,30)                  0.6429       0.6291      +0.0138
eff dxy [0,1)                    0.7797       0.8342      -0.0546
eff dxy [1,5)                    0.3684       0.4989      -0.1305
eff dxy [5,10)                   0.0000       0.2281      -0.2281
eff dxy [10,30)                  0.0000       0.0470      -0.0470
eff barrel |eta|<1.1             0.9065       0.9242      -0.0177
eff transition 1.1-1.7           0.8594       0.8826      -0.0232
eff endcap >1.7                  0.6667       0.7556      -0.0889
dup rate (pt sums)               0.4122       0.0499      +0.3623
dup rate (pt>0.9)                0.4335       0.0513      +0.3822
dup rate barrel                  0.2901       0.0097      +0.2803
dup rate transition              0.4470       0.0130      +0.4340
dup rate endcap                  0.5378       0.0846      +0.4533
fake rate (pt sums)              0.3109       0.0451      +0.2658
fake rate (pt>0.9)               0.3173       0.0455      +0.2718
fake rate barrel                 0.4900       0.0437      +0.4463
fake rate transition             0.3860       0.0459      +0.3402
fake rate endcap                 0.1596       0.0463      +0.1133
mean nhitOT                       6.342        6.514       -0.171
mean nhitOT barrel                7.560       10.151       -2.591
mean nhitOT transition            7.577       10.010       -2.433
mean nhitOT endcap                4.949        3.559       +1.390
n TC (fr denom)                   16515       610581      -594066
n sim (ef denom)                   1019        63603       -62584
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_hp_a0.json
