[ab] f4 : -ZR 0.9 -ZR5 1.4 -ZM4 -1.0 -ZBA 20
  chain TCs       total=297961 mean=993.2 (T5-class=288983 T4-class=8978; 0 accepted chains below 4 layers dropped by K10)
  M16 delivery    type-7 in-place upgrades of accepted chains=0 mean=0.0 (of 297961 accepted chain TCs) | extra type-5 TCs=0 mean=0.0
A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/transition/ab_f4_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3223       0.3264      -0.0042
eff overall (pt>0.9)             0.8017       0.8136      -0.0119
eff vxy [0,1)                    0.8343       0.8473      -0.0130
eff vxy [1,5)                    0.7845       0.7731      +0.0113
eff vxy [5,10)                   0.7035       0.6530      +0.0505
eff vxy [10,30)                  0.6822       0.6291      +0.0531
eff dxy [0,1)                    0.8279       0.8342      -0.0063
eff dxy [1,5)                    0.5258       0.4989      +0.0268
eff dxy [5,10)                   0.2386       0.2281      +0.0105
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9091       0.9242      -0.0151
eff transition 1.1-1.7           0.8601       0.8826      -0.0225
eff endcap >1.7                  0.7505       0.7556      -0.0051
dup rate (pt sums)               0.0623       0.0499      +0.0124
dup rate (pt>0.9)                0.0647       0.0513      +0.0134
dup rate barrel                  0.0156       0.0097      +0.0059
dup rate transition              0.0300       0.0130      +0.0169
dup rate endcap                  0.1001       0.0846      +0.0155
fake rate (pt sums)              0.0483       0.0451      +0.0032
fake rate (pt>0.9)               0.0499       0.0455      +0.0044
fake rate barrel                 0.0553       0.0437      +0.0116
fake rate transition             0.0534       0.0459      +0.0075
fake rate endcap                 0.0462       0.0463      -0.0002
mean nhitOT                       6.498        6.514       -0.015
mean nhitOT barrel               10.044       10.151       -0.107
mean nhitOT transition            9.962       10.010       -0.047
mean nhitOT endcap                3.679        3.559       +0.120
n TC (fr denom)                  613350       610581        +2769
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/transition/ab_f4.json
