A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a14_ref/r_ABT7_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3267       0.3281      -0.0014
eff overall (pt>0.9)             0.8082       0.8099      -0.0017
eff vxy [0,1)                    0.8411       0.8430      -0.0019
eff vxy [1,5)                    0.7887       0.7719      +0.0168
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8354       0.8307      +0.0047
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9232       0.9256      -0.0024
eff transition 1.1-1.7           0.8798       0.8819      -0.0020
eff endcap >1.7                  0.7450       0.7460      -0.0010
dup rate (pt sums)               0.0623       0.0503      +0.0120
dup rate (pt>0.9)                0.0630       0.0518      +0.0112
dup rate barrel                  0.0446       0.0099      +0.0347
dup rate transition              0.0354       0.0126      +0.0228
dup rate endcap                  0.0811       0.0856      -0.0045
fake rate (pt sums)              0.0504       0.0447      +0.0056
fake rate (pt>0.9)               0.0514       0.0448      +0.0066
fake rate barrel                 0.0579       0.0425      +0.0154
fake rate transition             0.0612       0.0445      +0.0166
fake rate endcap                 0.0450       0.0460      -0.0011
mean nhitOT                       6.425        6.519       -0.093
mean nhitOT barrel                9.811       10.148       -0.337
mean nhitOT transition            9.905       10.015       -0.111
mean nhitOT endcap                3.559        3.562       -0.004
n TC (fr denom)                  613730       608190        +5540
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a14_ref/r_ABT7.json
