A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a06_ref/r_G_WWF_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3276       0.3281      -0.0006
eff overall (pt>0.9)             0.8092       0.8099      -0.0007
eff vxy [0,1)                    0.8421       0.8430      -0.0009
eff vxy [1,5)                    0.7895       0.7719      +0.0175
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8363       0.8307      +0.0056
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9264       0.9256      +0.0008
eff transition 1.1-1.7           0.8791       0.8819      -0.0028
eff endcap >1.7                  0.7447       0.7460      -0.0012
dup rate (pt sums)               0.0613       0.0503      +0.0110
dup rate (pt>0.9)                0.0621       0.0518      +0.0103
dup rate barrel                  0.0433       0.0099      +0.0334
dup rate transition              0.0337       0.0126      +0.0211
dup rate endcap                  0.0809       0.0856      -0.0046
fake rate (pt sums)              0.0545       0.0447      +0.0098
fake rate (pt>0.9)               0.0562       0.0448      +0.0114
fake rate barrel                 0.0674       0.0425      +0.0249
fake rate transition             0.0714       0.0445      +0.0269
fake rate endcap                 0.0454       0.0460      -0.0006
mean nhitOT                       6.565        6.519       +0.047
mean nhitOT barrel                9.882       10.148       -0.266
mean nhitOT transition           10.288       10.015       +0.273
mean nhitOT endcap                3.624        3.562       +0.061
n TC (fr denom)                  618721       608190       +10531
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a06_ref/r_G_WWF.json
